codigo_pais,pais,dep,ciudad,PROV,nomprov,sec,nombremunicipio,idloc,AsientoElectoral,dist,nomdist,zona,nomzona,CIRCUNDIST,RECI,recinto_electoral,cantidadMesas,inscritos_habilitados,Inhabilitados,Depurados
11,ARGENTINA,10,BUENOS AIRES,12,GENERAL PUEYRREDÓN,1,GENERAL PUEYRREDÓN,4369,MAR DEL PLATA,1,DISTRITO MAR DEL PLATA,1,MAR DEL PLATA,0,26081,POR DEFINIR - MAR DEL PLATA,3,728,9,0
11,ARGENTINA,10,BUENOS AIRES,2,ITUZAINGÓ,1,ITUZAINGÓ,4129,ITUZAINGÓ,1,DISTRITO ITUZAINGÓ,1,ITUZAINGÓ,0,25192,B1-ESC PRIMARIA NRO 3 JOSE MANUEL ESTRADA,9,2066,9,6
11,ARGENTINA,10,BUENOS AIRES,13,JOSÉ M. EZEIZA,1,JOSÉ M. EZEIZA,4370,CARLOS SPEGAZZINI,1,DISTRITO CARLOS SPEGAZZINI,1,CARLOS SPEGAZZINI,0,26082,POR DEFINIR - CARLOS SPEGAZZINI,2,386,4,0
11,ARGENTINA,10,BUENOS AIRES,3,LA MATANZA,1,LA MATANZA,4130,VILLA CELINA,1,DISTRITO VILLA CELINA,1,VILLA CELINA,0,25060,F-VILLA CELINA-ESCUELA SECUNDARIA Nº10,19,4534,24,15
11,ARGENTINA,10,BUENOS AIRES,3,LA MATANZA,1,LA MATANZA,4130,VILLA CELINA,1,DISTRITO VILLA CELINA,1,VILLA CELINA,0,25176,F-VILLA CELINA-ESCUELA PRIMARIA Nº 97 JUANA MANSO DE NORONHA,12,2814,12,14
11,ARGENTINA,10,BUENOS AIRES,3,LA MATANZA,1,LA MATANZA,4130,VILLA CELINA,1,DISTRITO VILLA CELINA,1,VILLA CELINA,0,25177,F-VILLA CELINA-ESCUELA DE EDUCACIÓN PRIMARIA  Nº 138 COMANDANTE LUIS PIEDRABUENA,26,6191,50,8
11,ARGENTINA,10,BUENOS AIRES,3,LA MATANZA,1,LA MATANZA,4130,VILLA CELINA,1,DISTRITO VILLA CELINA,1,VILLA CELINA,0,25178,F-VILLA CELINA-ESCUELA PRIMARIA Nº139 CONGRESO DE TUCUMAN,10,2386,9,16
11,ARGENTINA,10,BUENOS AIRES,3,LA MATANZA,1,LA MATANZA,4131,ISIDRO CASANOVA,1,DISTRITO ISIDRO CASANOVA,1,ISIDRO CASANOVA,0,25179,F-ISIDRO CASANOVA - ESCUELA SECUNDARIA Nº76,11,2608,8,24
11,ARGENTINA,10,BUENOS AIRES,3,LA MATANZA,1,LA MATANZA,4132,GREGORIO DE LAFERRERE,1,DISTRITO GREGORIO DE LAFERRERE,1,GREGORIO DE LAFERRERE,0,25180,F-LA FERRERE-ESCUELA PRIMARIA Nº 19,13,3036,9,17
11,ARGENTINA,10,BUENOS AIRES,3,LA MATANZA,1,LA MATANZA,4132,GREGORIO DE LAFERRERE,1,DISTRITO GREGORIO DE LAFERRERE,1,GREGORIO DE LAFERRERE,0,25181,F-LA FERRERE-ANEXO ESCUELA SECUNDARIA Nº 23,10,2161,5,20
11,ARGENTINA,10,BUENOS AIRES,3,LA MATANZA,1,LA MATANZA,4133,SAN JUSTO,1,DISTRITO SAN JUSTO,1,SAN JUSTO,0,25182,F-SAN JUSTO - ANEXO I DE ESCUELA SECUNDARIA Nº11,12,2799,11,35
11,ARGENTINA,10,BUENOS AIRES,3,LA MATANZA,1,LA MATANZA,4134,GONZÁLEZ CATÁN,1,DISTRITO GONZÁLEZ CATÁN,1,GONZÁLEZ CATÁN,0,25183,F-GONZALES CATAN-ESCUELA SECUNDARIA Nº51,8,1702,3,7
11,ARGENTINA,10,BUENOS AIRES,8,LA PLATA,1,LA PLATA,4140,LA PLATA,1,DISTRITO LA PLATA,1,LA PLATA,0,25064,J- LA PLATA-ESCUELA SECUNDARIA Nº34 ALMAFUERTE,12,2752,12,10
11,ARGENTINA,10,BUENOS AIRES,8,LA PLATA,1,LA PLATA,4140,LA PLATA,1,DISTRITO LA PLATA,1,LA PLATA,0,25187,J- LA PLATA-ESCUELA PRIMARIA N°5 CNL. DE MARINA TOMAS ESPORA,10,2166,7,15
11,ARGENTINA,10,BUENOS AIRES,8,LA PLATA,1,LA PLATA,4140,LA PLATA,1,DISTRITO LA PLATA,1,LA PLATA,0,25188,J- LA PLATA-ESCUELA PRIMARIA N°102 DR. DARDO ROCHA,11,2451,8,3
11,ARGENTINA,10,BUENOS AIRES,5,LOMAS DE ZAMORA,1,LOMAS DE ZAMORA,4136,INGENIERO BUDGE,1,DISTRITO INGENIERO BUDGE,1,INGENIERO BUDGE,0,25062,H-LOMAS-ESCUELA EGB NRO. 12 PRIMERA JUNTA,12,2702,11,25
11,ARGENTINA,10,BUENOS AIRES,5,LOMAS DE ZAMORA,1,LOMAS DE ZAMORA,4137,VILLA ALBERTINA,1,DISTRITO VILLA ALBERTINA,1,VILLA ALBERTINA,0,25184,H-LOMAS-EXTENSION DE ESCUELA SECUNDARIA Nº33,18,4240,24,26
11,ARGENTINA,10,BUENOS AIRES,10,PILAR,1,PILAR,4142,PILAR,1,DISTRITO PILAR,1,PILAR,0,25147,L-PILAR-ESCUELA DE EDUCACIÓN PRIMARIA Nº26 LORENZO LÓPEZ,15,3355,17,12
